scaffold00031|nirK|25393_27683,8.11983
scaffold00082|nirK|28261_30530,43.2608
scaffold00333|nirK|11257_13538,86.8772
scaffold00447|nirK|7163_10194,9.09682
scaffold00522|nirK|9881_12210,30.1497
scaffold00652|nirK|8048_10201,5.77252
scaffold00955|nirK|0_2153,2.98174
scaffold02225|nirK|1754_4013,68.8812
scaffold02304|nirK|835_3134,150.014
scaffold02529|nirK|2302_3656,7.80305
scaffold02797|nirK|0_2439,202.829
scaffold07762|nirK|0_1604,1.33102
scaffold106818|nirK|0_269,2.53582
scaffold12593|nirK|0_1110,2.15194
scaffold13057|nirK|0_1079,4.04647
scaffold17051|nirK|0_884,4.97588
scaffold18064|nirK|0_848,1.77266
scaffold21497|nirK|0_747,2.88128
scaffold21520|nirK|0_747,1.12285
scaffold26955|nirK|0_636,4.95296
scaffold30938|nirK|0_579,1.83203
scaffold46700|nirK|0_443,5.82842
scaffold55798|nirK|0_396,1.52045
scaffold59602|nirK|0_381,0.956599
scaffold66755|nirK|0_355,2.27694
scaffold77763|nirK|0_325,6.92674
scaffold78491|nirK|0_323,0.932574
scaffold89021|nirK|0_299,1.00768
scaffold99787|nirK|0_280,1.69943
